"Rubric Name","Criteria Name","Criteria Description","Criteria Enable Range","Rating Name","Rating Description","Rating Points","Rating Name","Rating Description","Rating Points","Rating Name","Rating Description","Rating Points"
"Mac Navigation Deep Dive Rubric","Tasks 1-7. Finder and Navigation Fundamentals","Covers Command-Option-H; Path Bar and Get Info; Smart Folders; Spotlight and Quick Look; Screenshot Toolbar; root and Home folders; and Go to Folder navigation.","FALSE","Full Credit","All required demonstrations in this block are complete clear and correct.","35","Partial Credit","The block is incomplete or contains meaningful errors but shows substantial understanding.","20","No Credit","The block is missing or does not demonstrate the required skills.","0"
"Mac Navigation Deep Dive Rubric","Tasks 8-13. File and Application Management","Covers filename extensions; package contents; ZIP compression and extraction; DMG APP or PKG identification; leftover Library folders; and Login Items and Extensions.","FALSE","Full Credit","All required demonstrations in this block are complete clear and correct.","30","Partial Credit","The block is incomplete or contains meaningful errors but shows substantial understanding.","15","No Credit","The block is missing or does not demonstrate the required skills.","0"
"Mac Navigation Deep Dive Rubric","Tasks 14-19. System Tools and Troubleshooting","Covers Launch Agents; Terminal afinfo; privacy and file permissions; Activity Monitor; System Information; and Force Quit Applications.","FALSE","Full Credit","All required demonstrations in this block are complete clear and correct.","30","Partial Credit","The block is incomplete or contains meaningful errors but shows substantial understanding.","15","No Credit","The block is missing or does not demonstrate the required skills.","0"
"Mac Navigation Deep Dive Rubric","Tasks 20-25. Storage and Audio System Configuration","Covers app architecture; external drives; file systems; Audio MIDI Setup Audio Devices; MIDI Studio; and the AAX plug-in folder.","FALSE","Full Credit","All required demonstrations in this block are complete clear and correct.","30","Partial Credit","The block is incomplete or contains meaningful errors but shows substantial understanding.","15","No Credit","The block is missing or does not demonstrate the required skills.","0"
